Model,Total parameters,Att and ref parameters,Non att or ref parameters,Att parameters,Ref parameters,Total compute,Att and ref compute,Non att or ref compute,Att compute,Ref compute,Test loss @ 7500,Test loss @ 15000,Test loss @ 22500,Test loss @ 30000
Qwen3,596049920,176167936,419881984,176167936,0,7.84E+19,3.88E+19,3.96E+19,3.88E+19,0,2.868611336,2.743811607,2.659616232,2.586585283
Theia-K24,601210880,181328896,419881984,181328896,0,6.23E+19,2.27E+19,3.96E+19,2.27E+19,0,2.909447908,2.783168554,2.699994326,2.626958609
Theia-K32-R2,711024640,291142656,419881984,182877184,108265472,7.27E+19,3.30E+19,3.96E+19,2.28E+19,1.02E+19,2.884573698,2.761093378,2.678084135,2.606127501
Theia-K24-R3,699613184,279731200,419881984,181328896,98402304,7.16E+19,3.20E+19,3.96E+19,2.27E+19,9.30E+18,2.880692005,2.755919933,2.672395468,2.600552082
Theia-K24-R4,732545024,312663040,419881984,181328896,131334144,7.47E+19,3.51E+19,3.96E+19,2.27E+19,1.24E+19,2.881728649,2.75660181,2.673270941,2.60161376
Theia-K16-R4-S,686170112,266288128,419881984,179780608,86507520,7.31E+19,3.35E+19,3.96E+19,2.25E+19,1.09E+19,2.879085302,2.756757498,2.673604488,2.602094412
Theia-K16-R6,699670528,279788544,419881984,179780608,100007936,7.16E+19,3.20E+19,3.96E+19,2.25E+19,9.45E+18,2.882102489,2.757809877,2.673972607,2.601943731
Hyperion-K32-R1,656629760,236747776,419881984,182877184,53870592,6.75E+19,2.79E+19,3.96E+19,2.28E+19,5.09E+18,2.876983643,2.752228498,2.668890953,2.595401049
Hyperion-K24-R3,699613184,279731200,419881984,181328896,98402304,7.16E+19,3.20E+19,3.96E+19,2.27E+19,9.30E+18,2.866407156,2.741091013,2.656717062,2.584424973
Hyperion-K16-R3,649535488,229653504,419881984,179780608,49872896,6.69E+19,2.73E+19,3.96E+19,2.25E+19,4.72E+18,2.868162155,2.743589878,2.659106731,2.587014675
Hyperion-K16-R3-S,664477696,244595712,419881984,179780608,64815104,7.11E+19,3.14E+19,3.96E+19,2.25E+19,8.90E+18,2.863791466,2.738831043,2.654630423,2.583186388
Hyperion-K16-R4,666247168,246365184,419881984,179780608,66584576,6.85E+19,2.88E+19,3.96E+19,2.25E+19,6.30E+18,2.864327669,2.740999937,2.656259775,2.584111691
